1.102200000000000000e+04;2.437000000000000000e+04;1.903200000000000000e+04;6.817500000000000000e+04;7.375900000000000000e+04;1.845030000000000000e+05;7.291600000000000000e+04;4.898600000000000000e+04;2.215780000000000000e+05;6.209100000000000000e+04
1.429300000000000000e+04;2.963500000000000000e+04;2.557700000000000000e+04;7.554700000000000000e+04;9.485800000000000000e+04;1.723430000000000000e+05;7.341200000000000000e+04;5.023700000000000000e+04;1.620620000000000000e+05;8.846800000000000000e+04
8.228000000000000000e+03;2.023200000000000000e+04;1.428800000000000000e+04;5.576400000000000000e+04;6.062600000000000000e+04;1.686290000000000000e+05;5.828800000000000000e+04;4.168300000000000000e+04;2.829720000000000000e+05;7.572200000000000000e+04
1.037100000000000000e+04;2.538400000000000000e+04;1.776100000000000000e+04;6.443900000000000000e+04;5.664600000000000000e+04;1.829660000000000000e+05;7.507500000000000000e+04;5.242500000000000000e+04;2.114720000000000000e+05;8.989300000000000000e+04
5.416000000000000000e+03;1.601800000000000000e+04;9.437000000000000000e+03;5.193700000000000000e+04;4.344000000000000000e+04;1.735970000000000000e+05;5.591900000000000000e+04;4.096800000000000000e+04;2.999110000000000000e+05;8.978900000000000000e+04
1.445800000000000000e+04;3.044100000000000000e+04;2.493400000000000000e+04;7.414100000000000000e+04;8.592500000000000000e+04;1.691200000000000000e+05;7.438100000000000000e+04;5.182500000000000000e+04;1.555260000000000000e+05;1.056810000000000000e+05
1.298300000000000000e+04;2.926500000000000000e+04;2.459100000000000000e+04;7.838000000000000000e+04;9.309100000000000000e+04;1.884010000000000000e+05;7.851200000000000000e+04;5.143300000000000000e+04;1.549410000000000000e+05;7.483500000000000000e+04
1.330000000000000000e+04;2.779900000000000000e+04;2.146100000000000000e+04;6.985200000000000000e+04;7.048900000000000000e+04;1.788350000000000000e+05;7.801000000000000000e+04;5.393000000000000000e+04;2.016800000000000000e+05;7.107600000000000000e+04
1.001200000000000000e+04;2.378700000000000000e+04;1.841500000000000000e+04;7.037100000000000000e+04;8.065400000000000000e+04;1.885640000000000000e+05;7.217000000000000000e+04;4.697900000000000000e+04;2.163330000000000000e+05;5.914700000000000000e+04
6.378000000000000000e+03;1.629900000000000000e+04;1.155200000000000000e+04;5.230100000000000000e+04;5.191100000000000000e+04;1.635370000000000000e+05;5.256700000000000000e+04;3.907400000000000000e+04;3.070650000000000000e+05;8.574800000000000000e+04
1.174000000000000000e+04;2.593200000000000000e+04;2.073400000000000000e+04;7.332100000000000000e+04;8.317200000000000000e+04;1.850510000000000000e+05;7.810800000000000000e+04;5.229700000000000000e+04;1.894730000000000000e+05;6.660400000000000000e+04
1.557400000000000000e+04;3.125700000000000000e+04;2.746600000000000000e+04;7.796500000000000000e+04;1.094480000000000000e+05;1.710200000000000000e+05;7.400600000000000000e+04;5.058700000000000000e+04;1.456200000000000000e+05;8.348900000000000000e+04
1.020400000000000000e+04;2.282400000000000000e+04;1.989100000000000000e+04;7.364700000000000000e+04;9.261200000000000000e+04;1.934410000000000000e+05;7.302200000000000000e+04;4.601400000000000000e+04;1.976290000000000000e+05;5.714800000000000000e+04
