0.740;0.135;0.000;0.010;0.000;0.073;0.000;0.000;0.000;0.021;0.000;0.000;0.000;0.000;0.021
0.067;0.787;0.000;0.000;0.000;0.013;0.000;0.000;0.000;0.093;0.000;0.000;0.000;0.000;0.040
0.000;0.000;0.923;0.019;0.000;0.000;0.000;0.029;0.029;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.000;0.632;0.368;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.000;0.031;0.969;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.023;0.023;0.000;0.174;0.000;0.547;0.000;0.000;0.000;0.058;0.000;0.000;0.000;0.000;0.174
0.014;0.014;0.000;0.141;0.028;0.099;0.606;0.014;0.000;0.014;0.000;0.000;0.000;0.000;0.070
0.073;0.012;0.110;0.195;0.146;0.037;0.073;0.329;0.012;0.000;0.000;0.000;0.000;0.000;0.012
0.057;0.000;0.198;0.132;0.160;0.000;0.113;0.019;0.292;0.000;0.000;0.009;0.000;0.000;0.019
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000
0.000;0.022;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.978;0.000;0.000;0.000;0.000
0.031;0.008;0.055;0.189;0.323;0.016;0.071;0.024;0.063;0.000;0.000;0.173;0.000;0.000;0.047
0.034;0.011;0.102;0.273;0.455;0.023;0.045;0.011;0.011;0.011;0.000;0.011;0.011;0.000;0.000
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000
0.000;0.024;0.024;0.037;0.024;0.037;0.024;0.000;0.000;0.024;0.000;0.000;0.000;0.012;0.793
