0.744;0.044;0.044;0.000;0.000;0.044;0.000;0.056;0.033;0.022;0.000;0.000;0.011;0.000;0.000
0.113;0.825;0.000;0.000;0.000;0.010;0.000;0.041;0.000;0.000;0.010;0.000;0.000;0.000;0.000
0.046;0.000;0.890;0.000;0.000;0.000;0.000;0.000;0.009;0.000;0.000;0.000;0.000;0.000;0.055
0.000;0.000;0.000;0.698;0.267;0.000;0.012;0.000;0.000;0.000;0.000;0.012;0.012;0.000;0.000
0.000;0.000;0.000;0.259;0.729;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.012
0.000;0.000;0.059;0.000;0.000;0.912;0.000;0.029;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.013;0.000;0.039;0.105;0.053;0.039;0.632;0.000;0.039;0.000;0.000;0.053;0.026;0.000;0.000
0.013;0.065;0.000;0.000;0.000;0.039;0.000;0.870;0.013;0.000;0.000;0.000;0.000;0.000;0.000
0.079;0.000;0.066;0.026;0.007;0.000;0.053;0.026;0.682;0.000;0.000;0.000;0.020;0.000;0.040
0.225;0.200;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.575;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.029;0.000;0.000;0.914;0.000;0.000;0.057;0.000
0.000;0.000;0.000;0.030;0.000;0.000;0.000;0.000;0.015;0.000;0.000;0.805;0.150;0.000;0.000
0.000;0.000;0.000;0.110;0.012;0.000;0.012;0.000;0.000;0.000;0.000;0.317;0.549;0.000;0.000
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000
0.078;0.000;0.033;0.000;0.011;0.000;0.000;0.000;0.056;0.000;0.000;0.000;0.000;0.000;0.822
