0.526;0.137;0.021;0.000;0.000;0.116;0.000;0.105;0.021;0.000;0.000;0.021;0.000;0.000;0.053
0.188;0.675;0.013;0.000;0.000;0.062;0.000;0.050;0.013;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.680;0.010;0.010;0.000;0.000;0.000;0.010;0.072;0.021;0.000;0.000;0.062;0.134
0.000;0.000;0.047;0.514;0.243;0.000;0.056;0.000;0.009;0.000;0.000;0.084;0.037;0.000;0.009
0.008;0.000;0.051;0.398;0.500;0.000;0.017;0.000;0.008;0.000;0.000;0.008;0.008;0.000;0.000
0.147;0.013;0.000;0.000;0.000;0.787;0.000;0.000;0.053;0.000;0.000;0.000;0.000;0.000;0.000
0.087;0.000;0.000;0.159;0.029;0.159;0.377;0.043;0.087;0.000;0.000;0.029;0.029;0.000;0.000
0.175;0.100;0.062;0.013;0.013;0.037;0.025;0.512;0.037;0.013;0.000;0.000;0.000;0.000;0.013
0.016;0.016;0.000;0.119;0.040;0.048;0.063;0.008;0.595;0.000;0.000;0.063;0.016;0.016;0.000
0.069;0.000;0.172;0.000;0.000;0.000;0.000;0.000;0.000;0.621;0.000;0.000;0.000;0.103;0.034
0.020;0.020;0.220;0.000;0.000;0.000;0.000;0.040;0.020;0.040;0.360;0.000;0.000;0.160;0.120
0.000;0.000;0.000;0.067;0.042;0.000;0.000;0.000;0.000;0.000;0.000;0.815;0.067;0.000;0.008
0.025;0.000;0.000;0.136;0.049;0.000;0.049;0.000;0.025;0.000;0.000;0.210;0.494;0.000;0.012
0.000;0.062;0.208;0.000;0.000;0.000;0.000;0.000;0.104;0.042;0.208;0.000;0.000;0.354;0.021
0.022;0.000;0.228;0.011;0.022;0.011;0.011;0.011;0.065;0.022;0.011;0.011;0.033;0.033;0.511
